Tag Name,Tag Master Name
Client,Client
client,Client
x_Client,Client
ClusterId,ClusterId
ClusterName,ClusterName
Creator,Creator
DatabricksInstancePoolCreatorId,Creator
x_Creator,Creator
DataFactoryEntityResourceId,DataFactoryEntityResourceId
Databricks-ElasticDisk,Databricks-ElasticDisk
DatabricksInstanceGroupId,DatabricksInstanceGroupId
DatabricksInstancePoolId,DatabricksInstancePoolId
DatabricksEnvironment,Environment
Enviornment,Environment
Environment,Environment
databricks-environment,Environment
environment,Environment
JobId,JobId
MappingDataflowRunId,MappingDataflowRunId
Product,Product
ResourceClass,ResourceClass
RunName,RunName
Service,Service
x_Service,Service
SqlEndpointId,SqlEndpointId
Type,Type
type,Type
x_Type,Type
Vendor,Vendor
application,application
createdBy,createdBy
databricks-instance-name,databricks-instance-name
dbsql-channel,dbsql-channel
hidden-link:/subscriptions/f6650bec-0252-45ce-b7ce-8fff251c4dad/resourcegroups/OldMutual/providers/microsoft.insights/components/waweprodom,hidden-link:/subscriptions/f6650bec-0252-45ce-b7ce-8fff251c4dad/resourcegroups/OldMutual/providers/microsoft.insights/components/waweprodom
hidden-link:/subscriptions/f6650bec-0252-45ce-b7ce-8fff251c4dad/resourcegroups/OldMutual/providers/microsoft.insights/webtests/om-avail-waweprodom,hidden-link:/subscriptions/f6650bec-0252-45ce-b7ce-8fff251c4dad/resourcegroups/OldMutual/providers/microsoft.insights/webtests/om-avail-waweprodom
ms-resource-usage,ms-resource-usage
